id_sinistre,id_contrat,branche,type_sinistre,charge_sinistre,date_survenance,date_declaration,annee_survenance,mois_survenance,statut,delai_reglement_jours,cause_principale,region,gravite
SI-002620,IARD-011999,RC,Dommage tiers matériel,1805000,2022-08-23,2022-08-26,2022,8,Réglé,303,Défaut entretien,Tingrela,Grave
SI-002621,IARD-050804,Auto,Vol,878000,2019-07-10,2019-07-21,2019,7,Sans suite,,Animal,Bondoukou,Grave
SI-002622,IARD-035565,Habitation,Vol/Cambriolage,77000,2019-07-09,2019-08-13,2019,7,Réglé,87,Intempéries,Divo,Mineur
SI-002623,IARD-035080,Auto,Collision,1705000,2024-02-27,2024-03-21,2024,2,Réglé,85,Tiers non identifié,Touba,Grave
SI-002624,IARD-037719,RC,Préjudice moral,1714000,2022-02-15,2022-02-26,2022,2,En cours,,Animal,Yamoussoukro,Grave
SI-002625,IARD-042455,Habitation,Dégât des eaux,177000,2021-06-28,2021-08-06,2021,6,Réglé,144,Tiers non identifié,Gagnoa,Moyen
SI-002626,IARD-093813,Auto,Collision,1203000,2019-05-23,2019-06-16,2019,5,Sans suite,,Inconnu,Séguéla,Grave
SI-002627,IARD-081236,Habitation,Tempête,206000,2023-02-01,2023-03-18,2023,2,Sans suite,,Tiers non identifié,Tingrela,Moyen
SI-002628,IARD-095038,RC,Dommage tiers matériel,1360000,2019-09-30,2019-10-20,2019,9,Contesté,,Défaut entretien,Abengourou,Grave
SI-002629,IARD-069092,Auto,Dommage tiers,1026000,2022-05-19,2022-05-23,2022,5,Réglé,19,Animal,Korhogo,Grave
SI-002630,IARD-038117,Habitation,Dégât des eaux,396000,2024-04-15,2024-04-28,2024,4,En cours,,Inconnu,Issia,Moyen
SI-002631,IARD-000473,Auto,Incendie,276000,2020-12-05,2021-01-10,2020,12,Réglé,125,Défaut entretien,Bouaké,Moyen
SI-002632,IARD-093779,RC,Préjudice moral,726000,2020-04-24,2020-04-26,2020,4,Réglé,239,Tiers non identifié,Bouaké,Grave
SI-002633,IARD-089599,RC,Dommage tiers corporel,1655000,2024-04-06,2024-05-03,2024,4,Contesté,,Animal,Korhogo,Grave
SI-002634,IARD-036857,Habitation,Tempête,1027000,2020-10-11,2020-11-15,2020,10,Sans suite,,Inconnu,Issia,Grave
SI-002635,IARD-034652,Auto,Incendie,305000,2021-08-08,2021-08-25,2021,8,Réglé,236,Inconnu,Divo,Moyen
SI-002636,IARD-084158,RC,Préjudice moral,1824000,2023-05-09,2023-06-04,2023,5,Réglé,205,Inconnu,Bondoukou,Grave
SI-002637,IARD-096024,Auto,Vol,671000,2024-04-19,2024-04-22,2024,4,En cours,,Intempéries,Issia,Grave
SI-002638,IARD-004254,Auto,Incendie,997000,2021-11-23,2021-12-15,2021,11,Réglé,129,Tiers non identifié,Daloa,Grave
SI-002639,IARD-053516,Habitation,Incendie,564000,2021-04-23,2021-05-18,2021,4,Contesté,,Défaut entretien,Yamoussoukro,Grave
SI-002640,IARD-009409,RC,Blessures corporelles,84000,2021-04-12,2021-05-22,2021,4,Réglé,171,Défaut entretien,Man,Mineur
SI-002641,IARD-012752,Auto,Collision,1270000,2021-02-23,2021-04-07,2021,2,En cours,,Défaut entretien,Gagnoa,Grave
SI-002642,IARD-096928,RC,Blessures corporelles,752000,2021-06-05,2021-06-15,2021,6,Réglé,302,Animal,Gagnoa,Grave
SI-002643,IARD-018263,Auto,Catastrophe naturelle,260000,2024-10-03,2024-10-31,2024,10,Sans suite,,Défaut entretien,Man,Moyen
SI-002644,IARD-040232,Auto,Bris de glace,246000,2023-12-01,2023-12-14,2023,12,En cours,,Intempéries,Bouaké,Moyen
SI-002645,IARD-099531,Auto,Vol,1646000,2020-06-19,2020-06-27,2020,6,En cours,,Défaut entretien,Touba,Grave
SI-002646,IARD-080038,RC,Préjudice moral,2090000,2023-10-16,2023-11-02,2023,10,Sans suite,,Conducteur tiers,Séguéla,Grave
SI-002647,IARD-077002,Auto,Catastrophe naturelle,1194000,2022-05-08,2022-06-15,2022,5,Réglé,287,Inconnu,Divo,Grave
SI-002648,IARD-087502,Auto,Collision,1723000,2020-05-16,2020-05-22,2020,5,Réglé,46,Tiers non identifié,Touba,Grave
SI-002649,IARD-019953,Auto,Vol,1743000,2024-03-19,2024-03-30,2024,3,En cours,,Animal,San Pedro,Grave
SI-002650,IARD-072759,RC,Blessures corporelles,1376000,2022-08-30,2022-09-04,2022,8,Réglé,38,Tiers non identifié,Tingrela,Grave
SI-002651,IARD-008895,Habitation,Vandalisme,1013000,2021-04-10,2021-05-07,2021,4,Sans suite,,Tiers non identifié,Gagnoa,Grave
SI-002652,IARD-021520,Auto,Dommage tiers,1742000,2020-03-01,2020-04-11,2020,3,Sans suite,,Défaut entretien,Bouaké,Grave
SI-002653,IARD-092930,Auto,Collision,1777000,2020-10-16,2020-11-07,2020,10,Réglé,276,Inconnu,Danané,Grave
SI-002654,IARD-078914,Auto,Collision,184000,2020-02-14,2020-03-17,2020,2,Réglé,105,Intempéries,Man,Moyen
SI-002655,IARD-061654,Auto,Collision,1059000,2024-01-16,2024-02-20,2024,1,Réglé,187,Défaut entretien,Abengourou,Grave
SI-002656,IARD-090090,Auto,Incendie,93000,2021-04-26,2021-05-26,2021,4,Réglé,194,Défaut entretien,Abengourou,Mineur
SI-002657,IARD-084915,Habitation,Tempête,947000,2021-12-31,2022-01-18,2021,12,Réglé,174,Animal,Tingrela,Grave
SI-002658,IARD-097940,Auto,Bris de glace,1531000,2019-06-18,2019-07-29,2019,6,Réglé,257,Animal,Gagnoa,Grave
SI-002659,IARD-080145,Habitation,Vol/Cambriolage,366000,2020-12-02,2020-12-22,2020,12,Réglé,58,Intempéries,Korhogo,Moyen
SI-002660,IARD-017909,RC,Dommage tiers matériel,2208000,2021-07-06,2021-08-13,2021,7,Réglé,25,Conducteur tiers,Issia,Grave
SI-002661,IARD-067954,Auto,Collision,817000,2024-03-24,2024-04-26,2024,3,Contesté,,Animal,Bondoukou,Grave
SI-002662,IARD-026063,Auto,Vol,1606000,2020-06-26,2020-06-26,2020,6,En cours,,Intempéries,Bouaké,Grave
SI-002663,IARD-007466,Habitation,Incendie,313000,2021-01-25,2021-03-11,2021,1,Réglé,94,Conducteur tiers,Man,Moyen
SI-002664,IARD-025838,RC,Dommage tiers corporel,2226000,2020-11-18,2020-12-03,2020,11,Sans suite,,Conducteur tiers,Man,Grave
SI-002665,IARD-063766,Habitation,Vol/Cambriolage,546000,2021-01-27,2021-03-01,2021,1,Sans suite,,Inconnu,Séguéla,Grave
SI-002666,IARD-039279,RC,Dommage tiers corporel,117000,2024-10-13,2024-11-02,2024,10,Réglé,158,Conducteur tiers,Divo,Moyen
SI-002667,IARD-027597,Habitation,Dégât des eaux,1015000,2024-06-28,2024-08-12,2024,6,En cours,,Animal,Yamoussoukro,Grave
SI-002668,IARD-020863,Auto,Vol,759000,2020-04-21,2020-05-09,2020,4,Sans suite,,Inconnu,Issia,Grave
SI-002669,IARD-034328,RC,Dommage tiers corporel,697000,2021-12-12,2022-01-24,2021,12,En cours,,Conducteur tiers,Issia,Grave
SI-002670,IARD-068035,Habitation,Dégât des eaux,648000,2022-07-24,2022-08-05,2022,7,Contesté,,Inconnu,Bondoukou,Grave
SI-002671,IARD-087996,Habitation,Tempête,923000,2024-04-06,2024-04-22,2024,4,En cours,,Animal,San Pedro,Grave
SI-002672,IARD-068302,Auto,Catastrophe naturelle,1440000,2024-12-13,2024-12-24,2024,12,Réglé,274,Animal,Odienné,Grave
SI-002673,IARD-080415,Habitation,Incendie,486000,2023-03-08,2023-03-17,2023,3,En cours,,Tiers non identifié,Daloa,Moyen
SI-002674,IARD-015547,Habitation,Incendie,1098000,2024-08-25,2024-09-14,2024,8,Réglé,265,Intempéries,Touba,Grave
SI-002675,IARD-061405,Habitation,Dégât des eaux,43000,2024-02-03,2024-02-13,2024,2,Réglé,284,Inconnu,Korhogo,Mineur
SI-002676,IARD-008951,Auto,Bris de glace,295000,2024-01-01,2024-01-04,2024,1,Sans suite,,Défaut entretien,Daloa,Moyen
SI-002677,IARD-095754,Auto,Vol,801000,2019-06-06,2019-06-29,2019,6,Réglé,115,Intempéries,Daloa,Grave
SI-002678,IARD-063767,Habitation,Vandalisme,1098000,2021-09-12,2021-10-05,2021,9,Réglé,320,Conducteur tiers,Séguéla,Grave
SI-002679,IARD-073059,RC,Dommage tiers matériel,201000,2023-11-19,2023-11-28,2023,11,Réglé,19,Animal,Yamoussoukro,Moyen
SI-002680,IARD-077968,RC,Blessures corporelles,774000,2023-11-07,2023-12-19,2023,11,En cours,,Intempéries,Abengourou,Grave
SI-002681,IARD-075097,Habitation,Tempête,172000,2024-07-18,2024-08-02,2024,7,Réglé,56,Tiers non identifié,Abengourou,Moyen
SI-002682,IARD-069136,Habitation,Incendie,775000,2022-09-06,2022-10-10,2022,9,Réglé,281,Intempéries,Abengourou,Grave
SI-002683,IARD-005710,Auto,Vol,939000,2020-02-24,2020-03-15,2020,2,Sans suite,,Défaut entretien,Yamoussoukro,Grave
SI-002684,IARD-079671,Auto,Incendie,1764000,2021-08-16,2021-08-24,2021,8,Réglé,359,Défaut entretien,San Pedro,Grave
SI-002685,IARD-017618,RC,Dommage tiers corporel,231000,2022-04-09,2022-04-26,2022,4,En cours,,Conducteur tiers,Korhogo,Moyen
SI-002686,IARD-019389,RC,Pollution accidentelle,1712000,2019-05-24,2019-07-07,2019,5,Réglé,84,Tiers non identifié,Issia,Grave
SI-002687,IARD-093597,Habitation,Tempête,1089000,2019-08-29,2019-09-01,2019,8,Contesté,,Inconnu,San Pedro,Grave
SI-002688,IARD-086255,Habitation,Tempête,261000,2023-11-26,2023-12-01,2023,11,Contesté,,Conducteur tiers,Abidjan,Moyen
SI-002689,IARD-091757,Habitation,Vol/Cambriolage,553000,2020-12-16,2020-12-21,2020,12,En cours,,Conducteur tiers,Gagnoa,Grave
SI-002690,IARD-097309,RC,Dommage tiers corporel,29000,2019-06-10,2019-06-15,2019,6,En cours,,Conducteur tiers,Korhogo,Mineur
SI-002691,IARD-062124,Auto,Incendie,968000,2019-06-10,2019-06-27,2019,6,Réglé,255,Inconnu,Abengourou,Grave
SI-002692,IARD-092142,Auto,Catastrophe naturelle,1067000,2021-02-06,2021-03-07,2021,2,Réglé,97,Inconnu,Bondoukou,Grave
SI-002693,IARD-053226,Habitation,Tempête,970000,2022-11-12,2022-12-26,2022,11,Réglé,143,Inconnu,Danané,Grave
SI-002694,IARD-017363,Auto,Collision,571000,2020-05-02,2020-05-18,2020,5,Réglé,104,Inconnu,Yamoussoukro,Grave
SI-002695,IARD-085574,Auto,Dommage tiers,1515000,2020-08-18,2020-09-02,2020,8,En cours,,Inconnu,Abengourou,Grave
SI-002696,IARD-069256,Habitation,Incendie,861000,2024-09-18,2024-09-18,2024,9,Contesté,,Conducteur tiers,Abengourou,Grave
SI-002697,IARD-028223,Auto,Collision,1412000,2024-08-10,2024-09-06,2024,8,En cours,,Inconnu,Bouaké,Grave
SI-002698,IARD-029651,Auto,Collision,418000,2023-02-22,2023-03-18,2023,2,En cours,,Conducteur tiers,Man,Moyen
SI-002699,IARD-061817,Habitation,Dégât des eaux,975000,2023-05-16,2023-05-25,2023,5,Réglé,89,Défaut entretien,Korhogo,Grave
SI-002700,IARD-028864,Auto,Collision,926000,2023-06-15,2023-07-23,2023,6,En cours,,Tiers non identifié,Abidjan,Grave
SI-002701,IARD-039023,Auto,Dommage tiers,422000,2019-08-27,2019-09-15,2019,8,En cours,,Conducteur tiers,San Pedro,Moyen
SI-002702,IARD-045749,RC,Dommage tiers matériel,26000,2021-11-21,2022-01-05,2021,11,Sans suite,,Intempéries,Divo,Mineur
SI-002703,IARD-042660,Auto,Incendie,415000,2022-09-05,2022-09-20,2022,9,Réglé,80,Conducteur tiers,Danané,Moyen
SI-002704,IARD-060934,Auto,Bris de glace,1239000,2021-08-12,2021-09-14,2021,8,Réglé,168,Conducteur tiers,Danané,Grave
SI-002705,IARD-006063,Auto,Dommage tiers,424000,2023-02-06,2023-02-27,2023,2,Réglé,98,Animal,Issia,Moyen
SI-002706,IARD-071659,RC,Dommage tiers matériel,889000,2024-05-16,2024-05-25,2024,5,En cours,,Conducteur tiers,Séguéla,Grave
SI-002707,IARD-046532,Auto,Vol,679000,2021-01-17,2021-02-21,2021,1,En cours,,Conducteur tiers,Gagnoa,Grave
SI-002708,IARD-025222,Auto,Vol,1237000,2021-10-22,2021-11-27,2021,10,Réglé,99,Animal,Daloa,Grave
SI-002709,IARD-064308,RC,Pollution accidentelle,1075000,2021-10-28,2021-10-29,2021,10,Sans suite,,Animal,Issia,Grave
SI-002710,IARD-018533,Auto,Collision,1217000,2022-12-06,2022-12-23,2022,12,Sans suite,,Conducteur tiers,Touba,Grave
SI-002711,IARD-012995,Habitation,Dégât des eaux,1088000,2023-04-15,2023-05-15,2023,4,Réglé,165,Tiers non identifié,Abidjan,Grave
SI-002712,IARD-097960,Auto,Collision,1674000,2021-08-27,2021-10-07,2021,8,Contesté,,Intempéries,Daloa,Grave
SI-002713,IARD-030636,Habitation,Vandalisme,32000,2023-05-31,2023-06-01,2023,5,En cours,,Intempéries,Bondoukou,Mineur
SI-002714,IARD-073325,Habitation,Catastrophe naturelle,862000,2020-10-03,2020-10-27,2020,10,En cours,,Animal,Issia,Grave
SI-002715,IARD-074889,RC,Dommage tiers corporel,986000,2021-08-17,2021-09-21,2021,8,En cours,,Inconnu,Danané,Grave
SI-002716,IARD-037551,Auto,Catastrophe naturelle,966000,2023-10-30,2023-11-09,2023,10,Réglé,286,Défaut entretien,Issia,Grave
SI-002717,IARD-051004,Auto,Vol,785000,2022-07-30,2022-09-10,2022,7,En cours,,Défaut entretien,Korhogo,Grave
SI-002718,IARD-087357,Habitation,Tempête,932000,2023-09-08,2023-09-13,2023,9,Réglé,180,Tiers non identifié,Touba,Grave
SI-002719,IARD-006635,Habitation,Incendie,821000,2020-09-10,2020-09-11,2020,9,Contesté,,Conducteur tiers,Abidjan,Grave
SI-002720,IARD-008263,Auto,Vol,825000,2020-03-11,2020-03-12,2020,3,Réglé,121,Tiers non identifié,Yamoussoukro,Grave
SI-002721,IARD-005707,Habitation,Dégât des eaux,766000,2019-05-20,2019-06-12,2019,5,Réglé,286,Animal,Bondoukou,Grave
SI-002722,IARD-081821,Auto,Bris de glace,774000,2024-11-27,2024-12-16,2024,11,Réglé,206,Conducteur tiers,Bouaké,Grave
SI-002723,IARD-000751,Auto,Bris de glace,1143000,2021-01-28,2021-03-09,2021,1,En cours,,Conducteur tiers,Odienné,Grave
SI-002724,IARD-064230,Auto,Vol,459000,2019-11-03,2019-11-21,2019,11,Réglé,56,Tiers non identifié,Touba,Moyen
SI-002725,IARD-070275,Habitation,Vandalisme,372000,2024-06-12,2024-07-09,2024,6,Réglé,249,Tiers non identifié,Soubré,Moyen
SI-002726,IARD-037051,Auto,Incendie,430000,2019-07-13,2019-07-17,2019,7,Réglé,222,Intempéries,San Pedro,Moyen
SI-002727,IARD-028098,RC,Dommage tiers corporel,400000,2022-08-12,2022-08-12,2022,8,Sans suite,,Animal,Man,Moyen
SI-002728,IARD-043269,RC,Dommage tiers matériel,1378000,2021-01-27,2021-03-13,2021,1,En cours,,Inconnu,Gagnoa,Grave
SI-002729,IARD-088536,Habitation,Tempête,469000,2022-12-22,2023-01-25,2022,12,En cours,,Animal,Daloa,Moyen
SI-002730,IARD-030052,Auto,Bris de glace,676000,2019-09-24,2019-11-06,2019,9,Réglé,200,Défaut entretien,Abidjan,Grave
SI-002731,IARD-084314,Auto,Incendie,1195000,2021-11-26,2022-01-04,2021,11,Réglé,225,Inconnu,Touba,Grave
SI-002732,IARD-035475,Habitation,Incendie,746000,2023-03-17,2023-03-29,2023,3,En cours,,Conducteur tiers,Touba,Grave
SI-002733,IARD-057780,Auto,Dommage tiers,1522000,2021-08-30,2021-09-15,2021,8,En cours,,Conducteur tiers,Tingrela,Grave
SI-002734,IARD-011580,Auto,Collision,946000,2024-05-15,2024-06-08,2024,5,Réglé,326,Intempéries,Divo,Grave
SI-002735,IARD-032721,Auto,Collision,293000,2019-02-02,2019-02-04,2019,2,Sans suite,,Intempéries,Soubré,Moyen
SI-002736,IARD-053473,Auto,Catastrophe naturelle,374000,2021-07-06,2021-08-09,2021,7,En cours,,Conducteur tiers,Abengourou,Moyen
SI-002737,IARD-055830,Auto,Vol,834000,2022-01-12,2022-02-23,2022,1,Réglé,60,Animal,Yamoussoukro,Grave
SI-002738,IARD-075975,Habitation,Vol/Cambriolage,882000,2020-11-11,2020-11-23,2020,11,Réglé,202,Inconnu,Bouaké,Grave
SI-002739,IARD-002612,Auto,Bris de glace,1713000,2023-07-26,2023-09-05,2023,7,En cours,,Intempéries,San Pedro,Grave
SI-002740,IARD-097430,Auto,Vol,711000,2024-09-10,2024-10-13,2024,9,Réglé,209,Animal,Danané,Grave
SI-002741,IARD-019579,RC,Dommage tiers corporel,1390000,2020-08-27,2020-09-02,2020,8,Réglé,69,Défaut entretien,Issia,Grave
SI-002742,IARD-021220,Auto,Collision,748000,2019-11-30,2019-12-27,2019,11,Sans suite,,Défaut entretien,Danané,Grave
SI-002743,IARD-080132,Auto,Catastrophe naturelle,1797000,2020-12-03,2021-01-08,2020,12,Réglé,361,Inconnu,Danané,Grave
SI-002744,IARD-073041,Auto,Vol,1063000,2022-01-03,2022-01-24,2022,1,Réglé,339,Intempéries,Daloa,Grave
SI-002745,IARD-068246,Habitation,Incendie,124000,2023-09-15,2023-09-24,2023,9,En cours,,Tiers non identifié,Issia,Moyen
SI-002746,IARD-090346,Habitation,Vol/Cambriolage,1130000,2020-12-13,2021-01-09,2020,12,En cours,,Conducteur tiers,Touba,Grave
SI-002747,IARD-066407,Habitation,Dégât des eaux,592000,2023-07-02,2023-07-14,2023,7,Réglé,80,Conducteur tiers,Man,Grave
SI-002748,IARD-099032,Auto,Vol,1512000,2022-10-12,2022-11-04,2022,10,En cours,,Défaut entretien,Tingrela,Grave
SI-002749,IARD-043596,Habitation,Vol/Cambriolage,479000,2020-06-30,2020-07-14,2020,6,Réglé,92,Intempéries,Gagnoa,Moyen
SI-002750,IARD-011133,Auto,Vol,1489000,2023-10-22,2023-11-25,2023,10,Sans suite,,Animal,Bouaké,Grave
SI-002751,IARD-039727,Habitation,Vol/Cambriolage,1128000,2020-12-11,2020-12-27,2020,12,Réglé,249,Intempéries,Bouaké,Grave
SI-002752,IARD-038763,Auto,Bris de glace,696000,2021-08-26,2021-09-09,2021,8,Contesté,,Intempéries,Korhogo,Grave
SI-002753,IARD-058918,RC,Dommage tiers corporel,308000,2022-06-06,2022-07-07,2022,6,Réglé,298,Conducteur tiers,Yamoussoukro,Moyen
SI-002754,IARD-008644,Auto,Catastrophe naturelle,1000000,2023-08-22,2023-09-10,2023,8,Réglé,340,Conducteur tiers,Tingrela,Grave
SI-002755,IARD-053435,Habitation,Vol/Cambriolage,515000,2024-05-13,2024-05-18,2024,5,Réglé,91,Intempéries,Abidjan,Grave
SI-002756,IARD-027878,RC,Blessures corporelles,387000,2024-12-26,2024-12-27,2024,12,Sans suite,,Animal,San Pedro,Moyen
SI-002757,IARD-092087,Habitation,Catastrophe naturelle,41000,2022-11-24,2022-12-13,2022,11,Contesté,,Inconnu,Abidjan,Mineur
SI-002758,IARD-024244,Auto,Vol,396000,2020-11-14,2020-12-18,2020,11,En cours,,Défaut entretien,Abengourou,Moyen
SI-002759,IARD-031880,Auto,Vol,1167000,2024-10-15,2024-11-12,2024,10,Réglé,264,Intempéries,Bouaké,Grave
SI-002760,IARD-024569,RC,Blessures corporelles,1038000,2022-02-15,2022-02-24,2022,2,En cours,,Intempéries,Gagnoa,Grave
SI-002761,IARD-064753,Auto,Catastrophe naturelle,1307000,2021-09-12,2021-09-24,2021,9,Réglé,319,Animal,Issia,Grave
SI-002762,IARD-045120,Auto,Dommage tiers,480000,2023-04-15,2023-05-28,2023,4,Contesté,,Intempéries,Daloa,Moyen
SI-002763,IARD-098097,Habitation,Vol/Cambriolage,1199000,2023-03-31,2023-05-02,2023,3,Réglé,224,Conducteur tiers,Daloa,Grave
SI-002764,IARD-012339,RC,Pollution accidentelle,737000,2019-02-27,2019-04-10,2019,2,Réglé,196,Inconnu,Abengourou,Grave
SI-002765,IARD-068055,Habitation,Dégât des eaux,1115000,2023-01-26,2023-02-25,2023,1,En cours,,Intempéries,Touba,Grave
SI-002766,IARD-063710,Auto,Collision,1457000,2019-10-20,2019-11-18,2019,10,Sans suite,,Tiers non identifié,Abengourou,Grave
SI-002767,IARD-047743,Auto,Catastrophe naturelle,100000,2023-04-18,2023-05-27,2023,4,Réglé,161,Défaut entretien,Korhogo,Moyen
SI-002768,IARD-030800,Auto,Vol,976000,2024-07-17,2024-08-25,2024,7,En cours,,Intempéries,Abidjan,Grave
SI-002769,IARD-037537,Habitation,Dégât des eaux,989000,2021-07-04,2021-07-11,2021,7,Sans suite,,Intempéries,Gagnoa,Grave
SI-002770,IARD-030146,Habitation,Vol/Cambriolage,1060000,2023-11-01,2023-12-10,2023,11,Réglé,88,Conducteur tiers,Touba,Grave
SI-002771,IARD-003644,Auto,Collision,60000,2020-10-08,2020-10-29,2020,10,Sans suite,,Tiers non identifié,Gagnoa,Mineur
SI-002772,IARD-047626,Habitation,Dégât des eaux,876000,2021-02-24,2021-03-31,2021,2,Contesté,,Conducteur tiers,San Pedro,Grave
SI-002773,IARD-056633,Auto,Collision,82000,2020-09-29,2020-10-09,2020,9,Sans suite,,Défaut entretien,Soubré,Mineur
SI-002774,IARD-061139,RC,Dommage tiers corporel,152000,2021-10-20,2021-11-19,2021,10,Réglé,37,Inconnu,Abengourou,Moyen
SI-002775,IARD-040828,RC,Blessures corporelles,323000,2024-11-09,2024-11-24,2024,11,En cours,,Conducteur tiers,Yamoussoukro,Moyen
SI-002776,IARD-026873,Auto,Collision,1516000,2022-10-13,2022-11-03,2022,10,Réglé,336,Intempéries,San Pedro,Grave
SI-002777,IARD-065262,Auto,Dommage tiers,699000,2022-12-01,2022-12-03,2022,12,Réglé,276,Conducteur tiers,Odienné,Grave
SI-002778,IARD-070628,RC,Pollution accidentelle,2379000,2022-04-21,2022-04-22,2022,4,En cours,,Tiers non identifié,Abengourou,Grave
SI-002779,IARD-025694,Auto,Collision,881000,2022-12-11,2023-01-24,2022,12,En cours,,Tiers non identifié,Soubré,Grave
SI-002780,IARD-089863,Auto,Incendie,367000,2020-03-14,2020-03-25,2020,3,En cours,,Animal,Abengourou,Moyen
SI-002781,IARD-023099,RC,Dommage tiers corporel,2337000,2023-10-25,2023-11-02,2023,10,Réglé,144,Intempéries,Korhogo,Grave
SI-002782,IARD-087762,Auto,Vol,1426000,2022-06-06,2022-06-13,2022,6,En cours,,Intempéries,Danané,Grave
SI-002783,IARD-017125,Habitation,Vol/Cambriolage,728000,2024-05-19,2024-05-24,2024,5,Réglé,54,Défaut entretien,Issia,Grave
SI-002784,IARD-047539,RC,Dommage tiers corporel,1528000,2024-12-29,2024-12-31,2024,12,Réglé,325,Conducteur tiers,Abidjan,Grave
SI-002785,IARD-051322,Auto,Dommage tiers,406000,2020-02-12,2020-02-25,2020,2,Réglé,207,Inconnu,Bondoukou,Moyen
SI-002786,IARD-034483,Auto,Dommage tiers,513000,2022-07-14,2022-08-24,2022,7,Réglé,87,Conducteur tiers,Odienné,Grave
SI-002787,IARD-034429,RC,Dommage tiers matériel,1024000,2021-02-14,2021-03-24,2021,2,Contesté,,Intempéries,Tingrela,Grave
SI-002788,IARD-095296,Habitation,Vol/Cambriolage,280000,2022-09-11,2022-10-21,2022,9,Réglé,194,Animal,Danané,Moyen
SI-002789,IARD-031239,RC,Dommage tiers matériel,299000,2021-07-27,2021-07-27,2021,7,En cours,,Animal,Korhogo,Moyen
SI-002790,IARD-072313,Auto,Bris de glace,1495000,2020-07-16,2020-08-29,2020,7,Réglé,55,Défaut entretien,Bondoukou,Grave
SI-002791,IARD-003552,Auto,Bris de glace,980000,2023-03-21,2023-05-01,2023,3,En cours,,Conducteur tiers,Gagnoa,Grave
SI-002792,IARD-008598,RC,Dommage tiers matériel,419000,2021-12-02,2022-01-04,2021,12,Réglé,146,Inconnu,Gagnoa,Moyen
SI-002793,IARD-058647,Habitation,Catastrophe naturelle,401000,2020-04-16,2020-05-01,2020,4,En cours,,Conducteur tiers,Gagnoa,Moyen
SI-002794,IARD-038824,Auto,Dommage tiers,846000,2019-11-09,2019-12-10,2019,11,En cours,,Inconnu,Bondoukou,Grave
SI-002795,IARD-027947,Habitation,Incendie,619000,2023-07-22,2023-08-24,2023,7,Réglé,87,Défaut entretien,Korhogo,Grave
SI-002796,IARD-042276,Habitation,Vol/Cambriolage,726000,2023-12-14,2024-01-18,2023,12,Sans suite,,Tiers non identifié,Tingrela,Grave
SI-002797,IARD-015576,Habitation,Dégât des eaux,778000,2020-04-27,2020-06-08,2020,4,Réglé,282,Conducteur tiers,Bondoukou,Grave
SI-002798,IARD-076732,Auto,Collision,604000,2022-12-23,2023-02-02,2022,12,Réglé,108,Intempéries,Séguéla,Grave
SI-002799,IARD-087851,Auto,Dommage tiers,1603000,2022-07-01,2022-07-20,2022,7,En cours,,Animal,Abidjan,Grave
SI-002800,IARD-088364,Auto,Collision,320000,2020-06-10,2020-07-19,2020,6,En cours,,Conducteur tiers,Gagnoa,Moyen
SI-002801,IARD-072361,Auto,Bris de glace,283000,2024-03-21,2024-04-26,2024,3,En cours,,Défaut entretien,Tingrela,Moyen
SI-002802,IARD-049525,Habitation,Incendie,1028000,2023-01-19,2023-02-24,2023,1,Contesté,,Animal,Gagnoa,Grave
SI-002803,IARD-079873,Auto,Collision,735000,2024-08-30,2024-09-11,2024,8,En cours,,Inconnu,Tingrela,Grave
SI-002804,IARD-087738,RC,Dommage tiers corporel,1624000,2023-01-26,2023-02-13,2023,1,Réglé,37,Défaut entretien,San Pedro,Grave
SI-002805,IARD-055215,Habitation,Dégât des eaux,778000,2019-02-04,2019-03-13,2019,2,Réglé,270,Intempéries,Yamoussoukro,Grave
SI-002806,IARD-068291,Auto,Collision,1654000,2020-06-03,2020-07-01,2020,6,En cours,,Animal,San Pedro,Grave
SI-002807,IARD-047686,Habitation,Catastrophe naturelle,1020000,2023-05-12,2023-05-22,2023,5,Réglé,228,Animal,Soubré,Grave
SI-002808,IARD-085604,Auto,Dommage tiers,1383000,2020-07-09,2020-07-24,2020,7,Réglé,22,Animal,Issia,Grave
SI-002809,IARD-008215,Habitation,Dégât des eaux,541000,2021-02-27,2021-03-06,2021,2,Sans suite,,Inconnu,Gagnoa,Grave
SI-002810,IARD-063615,Habitation,Vol/Cambriolage,223000,2024-05-25,2024-06-18,2024,5,Réglé,185,Défaut entretien,Soubré,Moyen
SI-002811,IARD-056508,RC,Dommage tiers corporel,1744000,2024-05-26,2024-05-30,2024,5,Réglé,275,Défaut entretien,Bouaké,Grave
SI-002812,IARD-030643,Auto,Bris de glace,1405000,2020-09-15,2020-10-13,2020,9,En cours,,Inconnu,Korhogo,Grave
SI-002813,IARD-029496,Habitation,Dégât des eaux,902000,2019-03-20,2019-04-05,2019,3,Réglé,363,Intempéries,Danané,Grave
SI-002814,IARD-085047,Habitation,Vandalisme,87000,2023-01-24,2023-02-25,2023,1,Réglé,93,Tiers non identifié,Soubré,Mineur
SI-002815,IARD-017766,Habitation,Incendie,1114000,2022-04-05,2022-05-05,2022,4,Contesté,,Inconnu,Man,Grave
SI-002816,IARD-094373,Auto,Catastrophe naturelle,499000,2023-10-04,2023-10-13,2023,10,Réglé,326,Animal,Séguéla,Moyen
SI-002817,IARD-077314,Auto,Collision,1432000,2022-10-30,2022-11-22,2022,10,En cours,,Défaut entretien,Soubré,Grave
